Year,Area_Ha,Production_Tonnes,Yield_Kg_Ha
2004,170000.0,48431.0,284.9
2005,170000.0,45200.0,265.9
2006,170000.0,48300.0,284.1
2007,163000.0,53368.0,327.4
2008,155000.0,42000.0,271.0
2009,160000.0,54000.0,337.5
2010,160000.0,42000.0,262.5
2011,115600.0,36300.0,314.0
2012,109795.0,49000.0,446.3
2013,109800.0,39800.0,362.5
2014,110000.0,49500.0,450.0
2015,113500.0,42000.0,370.0
2016,114000.0,46100.0,404.4
2017,114700.0,38620.0,336.7
2018,115570.0,41375.0,358.0
2019,119600.0,44500.0,372.1
2020,119700.0,36900.0,308.3
2021,108200.0,34500.0,318.9
2022,109400.0,51900.0,474.4
2023,111900.0,48700.0,435.2
2024,113600.0,49500.0,435.7
